127.0.0.1 - - [22/Oct/2021:22:43:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/ HTTP/1.1" 200 8641
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/styles/layout.css HTTP/1.1" 200 20725
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/css/jquery-ui.css HTTP/1.1" 200 35212
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/js/jquery.validate.js HTTP/1.1" 200 42696
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/js/jquery-1.10.2.js HTTP/1.1" 200 273199
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/js/jquery-ui.js HTTP/1.1" 200 470596
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/styles/fontawesome-4.2.0.min.css HTTP/1.1" 200 21972
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/scripts/nivo-lightbox/nivo-lightbox.min.css HTTP/1.1" 200 7114
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/styles/framework.css HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/scripts/jquery.fitvids.min.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/scripts/jquery.mobilemenu.js HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/scripts/tabslet/jquery.tabslet.min.js HTTP/1.1" 200 3330
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/slider/2.jpg HTTP/1.1" 200 96515
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/slider/1.jpg HTTP/1.1" 200 78789
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/slider/3.jpg HTTP/1.1" 200 104798
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/slider/4.jpg HTTP/1.1" 200 71585
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/slider/5.png HTTP/1.1" 200 278393
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/main1.png HTTP/1.1" 200 12264
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/main2.jpg HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/demo/main3.jpg HTTP/1.1" 200 8589
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/images/save_1.jpg HTTP/1.1" 200 25170
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:19 +0530] "GET /crs/layout/styles/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 56006
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:28 +0530] "GET /crs/register-page.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [22/Oct/2021:22:43:30 +0530] "GET /crs/student.jsp?student_id=0 HTTP/1.1" 500 3431
